a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
acl 2.2.53-2
acpi 1.7-2
acpid 2.0.32-1
adapta-maia-theme 3.94.0.149-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-firmware 1.2.1-1
alsa-lib 1.2.1.2-2
alsa-plugins 1.2.1-1
alsa-topology-conf 1.2.1-1
alsa-ucm-conf 1.2.1.2-1
alsa-utils 1.2.1-1
amd-ucode 20191220.6871bff-1
aom 1.0.0.errata1-1
apparmor 2.13.3-5
appstream-glib 0.7.16-2
apr 1.7.0-2
apr-util 1.6.1-6
arandr 0.1.10-4
archlinux-appstream-data 20191128-1
archlinux-keyring 20191219-1
argon2 20190702-2
aribb24 1.0.3-2
artwork-i3 20190912-1
aspell 0.60.8-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
atool 0.39.0-6
attr 2.4.48-2
audit 2.8.5-6
autoconf 2.69-6
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
b43-fwcutter 019-3
babl 0.1.72-1
bash 5.0.011-2
bashrc-manjaro 5.0.011-2
bauh 0.8.0-1
bc 1.07.1-3
binutils 2.33.1-2
bison 3.5-1
blas 3.9.0-2
blueman 2.1.1-2
bluez 5.52-2
bluez-libs 5.52-2
bluez-utils 5.52-2
bmenu 0.5-3
boost-libs 1.71.0-4
brandr 0.2-3
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bzip2 1.0.8-3
ca-certificates 20181109-2
ca-certificates-mozilla 3.48-1
ca-certificates-utils 20181109-2
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
chromaprint 1.4.3-2
cifs-utils 6.9-1
ckbcomp 1.194-1
clipit 1:1.4.3-2
colord 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
conky 1.11.5-2
conky-i3 20180507-1
coreutils 8.31-3
cpupower 5.4-3
cracklib 2.9.7-2
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.2.2-1.1
cups 2.3.1-1
cups-filters 1.26.0-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.67.0-3
dav1d 0.5.2-1
db 5.3.28-5
dbus 1.12.16-2.2
dbus-glib 0.110-1
dconf 0.34.0-1
deluge 2.0.4.dev23+g2f1c008a2-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-4
dfc 3.1.1-1
dhclient 4.4.1-4
dhcpcd 8.1.4-1
diffutils 3.7-3
ding-libs 0.6.1-3
dmenu-manjaro 4.9-4
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.80-4
dnssec-anchors 20190629-2
dosfstools 4.1-3
double-conversion 3.1.5-1
downgrade 6.2.2-1
dunst 1.4.1-2
dunstify 1.4.1-2
e2fsprogs 1.45.4-2
ecryptfs-utils 111-3
efibootmgr 16-2
efivar 37-3
enchant 2.2.7-1
epdfview 0.1.8-10
exfat-utils 1.3.0-1
exiv2 0.27.2-1
exo 0.12.11-1
expac 10-1
expat 2.2.9-3
f2fs-tools 1.13.0-1
faac 1.30-1
faad2 2.9.1-2
fakeroot 1.24-2
ffmpeg 1:4.2.1-4
ffmpegthumbnailer 2.2.2-1
fftw 3.3.8-1
file 5.37-5
filesystem 2019.10-4
findutils 4.7.0-2
flac 1.3.3-1
flex 2.6.4-3
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.2.1-1
freetype2 2.10.1-1
fribidi 1.0.8-1
fuse-common 3.9.0-1
fuse2 2.9.9-3
fuse3 3.9.0-1
fuseiso 20070708-7
fzf 0.20.0-1
gawk 5.0.1-2
gc 8.0.4-3
gcab 1.3-1
gcc 9.2.0-4
gcc-libs 9.2.0-4
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-5
gcr 3.34.0-1
gd 2.2.5-2
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-1
gegl 0.4.18-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.20.1-3
ghostscript 9.50-2
giblib 1.2.4-7
giflib 5.2.1-1
gimp 2.10.14-1
git 2.24.1-3
glew 2.1.0-1
glib-networking 2.62.2-1
glib2 2.62.4-1
glibc 2.30-3
glibmm 2.62.0-1
glu 9.0.1-1
gmp 6.1.2-3
gnome-keyring 1:3.34.0-2
gnupg 2.2.19-1
gnutls 3.6.11.1-1
gobject-introspection-runtime 1.62.0-3
gparted 1.0.0-1
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.4-1
graphene 1.10.0-1
